,provider,samples,hit_rate,cost
102,Amazon CloudFront,1000000,0.0,1660574.3805929567
103,Amazon CloudFront,1000000,0.9,1655820.5188669753
104,Amazon CloudFront,1000000,1.0,1659718.7707087314
105,Amazon CloudFront,1000000,0.0,1661169.2568511427
106,Amazon CloudFront,1000000,0.9,1660587.9364666385
107,Amazon CloudFront,1000000,1.0,1663964.6603888175
108,Amazon CloudFront,1000000,0.0,1657978.3215899426
109,Amazon CloudFront,1000000,0.9,1660421.840649346
110,Amazon CloudFront,1000000,1.0,1660921.4524709955
111,Amazon CloudFront,1000000,0.0,1662220.616153292
112,Amazon CloudFront,1000000,0.9,1663338.6538194073
113,Amazon CloudFront,1000000,1.0,1663521.1834979537
114,Amazon CloudFront,1000000,0.0,1664498.7526362818
115,Amazon CloudFront,1000000,0.9,1659521.3328609907
116,Amazon CloudFront,1000000,1.0,1656862.7466343315
117,Amazon CloudFront,1000000,0.0,1662493.2457500882
118,Amazon CloudFront,1000000,0.9,1667847.8097836927
119,Amazon CloudFront,1000000,1.0,1659483.462216463
120,Amazon CloudFront,10000000,0.0,16116488.846473979
121,Amazon CloudFront,10000000,0.9,16118172.554577112
122,Amazon CloudFront,10000000,1.0,16107769.734330943
123,Amazon CloudFront,10000000,0.0,16104420.00121098
124,Amazon CloudFront,10000000,0.9,16118598.862302689
125,Amazon CloudFront,10000000,1.0,16116733.957110658
126,Amazon CloudFront,10000000,0.0,16133467.31001733
127,Amazon CloudFront,10000000,0.9,16132572.628907748
128,Amazon CloudFront,10000000,1.0,16111233.397695359
129,Amazon CloudFront,10000000,0.0,16147703.605244504
130,Amazon CloudFront,10000000,0.9,16118653.989582645
131,Amazon CloudFront,10000000,1.0,16118158.889702126
132,Amazon CloudFront,10000000,0.0,16113492.686640525
133,Amazon CloudFront,10000000,0.9,16140372.27807254
134,Amazon CloudFront,10000000,1.0,16111381.457903259
135,Amazon CloudFront,10000000,0.0,16106057.94226554
136,Amazon CloudFront,10000000,0.9,16137812.73364839
137,Amazon CloudFront,10000000,1.0,16125809.375116795
138,Amazon CloudFront,10000000,0.0,16109354.754440684
139,Amazon CloudFront,10000000,0.9,16114409.332529483
140,Amazon CloudFront,10000000,1.0,16112732.101552308
141,Amazon CloudFront,10000000,0.0,16124489.185493128
142,Amazon CloudFront,10000000,0.9,16134336.689641548
143,Amazon CloudFront,10000000,1.0,16105646.277342452
144,Amazon CloudFront,10000000,0.0,16112003.74382989
145,Amazon CloudFront,10000000,0.9,16125997.71359535
146,Amazon CloudFront,10000000,1.0,16135256.352347225
147,Amazon CloudFront,10000000,0.0,16125989.340863982
148,Amazon CloudFront,10000000,0.9,16114060.12775749
149,Amazon CloudFront,10000000,1.0,16144870.132118454
150,Azure CDN,1000,0.0,3918.2833515598622
151,Azure CDN,1000,0.9,3891.1661211892215
152,Azure CDN,1000,1.0,3853.046934081912
153,Azure CDN,1000,0.0,4123.518858129829
154,Azure CDN,1000,0.9,4127.04038182294
155,Azure CDN,1000,1.0,4132.510280400254
156,Azure CDN,1000,0.0,4593.206287784707
157,Azure CDN,1000,0.9,4143.285425121169
158,Azure CDN,1000,1.0,3978.8508499471654
159,Azure CDN,1000,0.0,3699.540028022807
160,Azure CDN,1000,0.9,3721.526242847759
161,Azure CDN,1000,1.0,4495.9010415423845
162,Azure CDN,1000,0.0,3905.8297076325116
163,Azure CDN,1000,0.9,4248.841249156017
164,Azure CDN,1000,1.0,3948.133599242866
165,Azure CDN,1000,0.0,4085.330404588226
166,Azure CDN,1000,0.9,3922.1325770143603
167,Azure CDN,1000,1.0,4169.198790910858
168,Azure CDN,1000,0.0,4474.174474537112
169,Azure CDN,1000,0.9,3810.7737463803214
170,Azure CDN,1000,1.0,3603.820517177898
171,Azure CDN,1000,0.0,4043.2961934788336
172,Azure CDN,1000,0.9,3838.6027281838005
173,Azure CDN,1000,1.0,4278.008708926122
174,Azure CDN,1000,0.0,3664.506118961349
175,Azure CDN,1000,0.9,4179.741073202081
176,Azure CDN,1000,1.0,4010.4303913332706
177,Azure CDN,1000,0.0,4101.472989886738
178,Azure CDN,1000,0.9,4169.756516327355
179,Azure CDN,1000,1.0,4150.319224145934
180,Azure CDN,10000,0.0,34904.25579319961
181,Azure CDN,10000,0.9,35703.22587714132
182,Azure CDN,10000,1.0,35967.985375516786
183,Azure CDN,10000,0.0,34230.416979945934
184,Azure CDN,10000,0.9,34993.034351440816
185,Azure CDN,10000,1.0,33584.381373560725
186,Azure CDN,10000,0.0,34798.377860521636
187,Azure CDN,10000,0.9,34960.36706798311
188,Azure CDN,10000,1.0,34319.363762254565
189,Azure CDN,10000,0.0,35187.6477865183
190,Azure CDN,10000,0.9,34143.60916000951
191,Azure CDN,10000,1.0,33847.457887099794
192,Azure CDN,10000,0.0,33229.92232168812
193,Azure CDN,10000,0.9,34542.9818886311
194,Azure CDN,10000,1.0,34703.353077007196
195,Azure CDN,10000,0.0,34428.81090937901
196,Azure CDN,10000,0.9,34716.651512168086
197,Azure CDN,10000,1.0,34791.41235190883
198,Azure CDN,10000,0.0,34859.89493162252
199,Azure CDN,10000,0.9,34965.175701979286
200,Azure CDN,10000,1.0,34989.34804951839
201,Azure CDN,10000,0.0,34086.25684719786
202,Azure CDN,10000,0.9,35406.75109504789
203,Azure CDN,10000,1.0,34808.806762388645
204,Azure CDN,10000,0.0,34826.71843655847
205,Azure CDN,10000,0.9,34881.72805120397
206,Azure CDN,10000,1.0,34333.472596836946
207,Azure CDN,10000,0.0,34672.66847888261
208,Azure CDN,10000,0.9,33677.5076015915
209,Azure CDN,10000,1.0,33790.85190161198
210,Azure CDN,100000,0.0,275498.31373125425
211,Azure CDN,100000,0.9,273089.2628070637
212,Azure CDN,100000,1.0,274582.73186394846
213,Azure CDN,100000,0.0,273598.4993001038
214,Azure CDN,100000,0.9,274762.42110785766
215,Azure CDN,100000,1.0,275254.35384806636
216,Azure CDN,100000,0.0,275391.5523959989
217,Azure CDN,100000,0.9,271719.9860090287
218,Azure CDN,100000,1.0,274434.9494305611
219,Azure CDN,100000,0.0,274172.34054979327
220,Azure CDN,100000,0.9,274131.18684733164
221,Azure CDN,100000,1.0,273339.20685977297
222,Azure CDN,100000,0.0,273182.22278352774
223,Azure CDN,100000,0.9,275431.87364501756
224,Azure CDN,100000,1.0,273568.69919353555
225,Azure CDN,100000,0.0,273284.8562783454
226,Azure CDN,100000,0.9,272056.72635629977
227,Azure CDN,100000,1.0,273274.67117722676
228,Azure CDN,100000,0.0,273897.28898589493
229,Azure CDN,100000,0.9,274751.2063813223
230,Azure CDN,100000,1.0,272349.8491313471
231,Azure CDN,100000,0.0,273535.54984580463
232,Azure CDN,100000,0.9,272935.51458218595
233,Azure CDN,100000,1.0,274934.8675618008
234,Azure CDN,100000,0.0,272628.648101353
235,Azure CDN,100000,0.9,273336.93896498176
236,Azure CDN,100000,1.0,273130.47079045785
